clusterId,conceptName,ingredient,family,candidateProducts,policyClass,selectedProductId,selectionReason,allowedContext,blocker
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Лук","","leek_raw|onion|onion_baked|onion_green_raw|onion_powder","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Лук","","leek_raw|onion|onion_baked|onion_green_raw|onion_powder","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Куриный фарш","фарш","beef_mince_raw|chicken_mince_raw|pork_mince_raw","PARSER_OR_IDENTITY_REMEDIATION","","multiple semantically valid products remain; no arbitrary variant is selected","none; repair source identity/qualifier mapping first","explicit source identity is not represented safely by current family candidates"
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Лук","","leek_raw|onion|onion_baked|onion_green_raw|onion_powder","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","Масло","масло","butter|butter_72pct|coconut_oil|corn_oil|ghee|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Сметана","сметана","sour_cream_10pct|sour_cream_15pct|sour_cream_20pct","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Сметана","сметана","sour_cream_10pct|sour_cream_15pct|sour_cream_20pct","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Сметана","сметана","sour_cream_10pct|sour_cream_15pct|sour_cream_20pct","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Крахмал","крахмал","corn_starch|potato_starch","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Растительное масло","растительное масло","coconut_oil|corn_oil|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
